2D First,Participant,Condition,Order,Observations,proportion,count,"Enjoy -  Any verbal expression of enjoyment (laugh, like, fun)","Not Enjoy - any verbal expression/word of non-enjoyment (sigh, frustration, dislike, uncomfort)",Memorability - received via email,Rationale - about their rationale for picking the shapes,Perception - about different ways they perceive the pictograph or shape or 2d or vr,Estimation - About their strategy of estimation of proportions or quantities,Challenging - Indication that it was difficult challenging for them,"Experience - Reference to an Experience, lived or not",Memory of Past Experience,World - Reference to the Real World,Senses - Referece to Physical Senses,Abstract - Reference to Abstract Concepts/Emotions,Symbolism - conventional representations,Personal - Making it personal,Aesthetics,Order effect - Influenced/inspired by the previous conditions
1,P11,VR-C,38,"A lot of these feel negative. The spiral are tangled up and complicated, flowery but not. Skiky and incomfortable. “it looks like each of them hurt”",,,,,,1,,,,,,1,1,,,,,
1,P13,VR-D,46,"Feels cosy, Like a playing cat",,,,,,,,,,1,,1,?,,,,,
1,P9,VR-D,35,Im going to go with green. For some reason im feeling like nature. I don’t know why. Im going to do ome happy explosive shape that looks good to me,,,,,,,,,,1,,1,,1,,,,
1,P7,2D-C,25,Tear drops because then it’s the crying.,,,,,,,,,,1,,1,,,,,,
0,P8,2D-D,24,"Sad: red color, in my room somewhere, one corner of the room.",,,,,,,,,,1,,1,,,,,,
0,P12,VR-C,14,"Lot of curvature with positive. Neutral mostly flat lines. Scandivanian modern design. More neutral. Point. Remind of public parc, so people don’t spend time on benches or something.",,,,,,,,,,1,,1,,,,,,
1,P7,VR-C,75,"Too happy of a color, ball something to play with",,,,,,,,,,1,,1,,,,,,
0,P2,VR-D,19,its like i am a weird street artist,,,,,,,,,,1,,1,,,,,,
1,P13,VR-D,44,Happy kitten playing with a string of wool,,,1,,,,,,,1,,1,,,,,,
1,P3,VR-D,48,Good for people that want to fill like they are 3 year old again. Like a giant paint brush or crayon again.,,,,,,,,,,1,,1,,,,,,
0,P8,2D-C,33,Positive definitely flowers – I feel they represent beauty and positive feeling.,,,,,,,,,,,,1,,1,,,,
0,P8,2D-C,35,"For the negative it is going to be the spiral. Going down the spiral, the bad road. I did not want to choose the spikey one because it was more of a star spaklying star to me.",,,,,,,,,,,,1,,1,,,,
1,P13,2D-D,17,[points to neutral blue wavy lines] Peace water sky,,,,,,,,,,,,1,,1,,,,
0,P8,VR-C,17,More spiky or turbulence in my life. The star spikes makes me represent these thorns,,,,,,,,,,,,1,,1,,,,
1,P5,VR-C,70,Drops are uplifting,,,,,,,,,,,,1,,1,,,,
1,P5,VR-D,109,It’s a pile of sadness – orange,,,1,,,,,,,,,1,,1,,,,
1,P13,2D-D,15,All of it orange. Alckmost feel a bucket of happiness. See the stuffs I like.,,,,,,1,,,,,,1,,?,,,,
1,P3,2D-C,13,"Picking one at random – to see the mechanics of the interface. + sign that would be the one I would lean towards, also when you were showing. It’s a shape that is not filling the entire space. But then it just looks like a wall of bricks but its less engaging. I tried the line ones, but they just get lost, do not really convey any weight really.",,,,,,,1,,,,,1,,,1,,,
0,P10,2D-C,27,I like the concentric circles. It looks like a light. Now it looks like an eyeball in pattern. Curious what the square spiral looks like. Kind of fun. Like seeing this guys <symbols>. It reminds me of regular infographics but its not fun in anyways. The squiggly line is not helpful looks like a long line.,,,,,,,1,,,,,1,,,1,,,
1,P5,2D-C,8,Easy was to see how big it got. These icons will take up the same amount. I don’t like rain so that is not really a thing for me.,,,,,,,,,,,,1,,,1,,,
0,P8,2D-C,36,"Final shapes: flower, minus, spiral",,,,,,,,,,,,1,,,1,,,
0,P4,VR-D,15,"Sun – cloud – almost like weather-like so Im trying to think, what other shapes",,,,,,,,,,,,1,,,1,,,
1,P7,VR-D,51,I was going to do exclamation point but now it looks like a cactus,,,,,,,,,,,,1,,,1,,,
0,P8,VR-D,8,"Neutral. I personally like blue or yellow. So yellow. When im thinking of neutral, im thinking of . just a shape or a square.  Emoji sign sign up for positive. Thumbs down for negative. Neutral make a hand. But I don’t really know how to draw. Ill go with emojis",,,,,,,,,1,,,1,,,2,,,
1,P13,VR-C,37,"A happy field with happy color, the negative field is further away, which I like",,,,,,,1,,,,,1,,,,,,
1,P5,VR-C,63,"Little drops are kind of cute, easy to distinguish",,,,,,,1,,,,,1,,,,,,
1,P7,VR-C,73,Balls gets hard as it goes away for me. Cube a bit big,,,,,,,1,,,,,1,,,,,,
0,P10,VR-D,19,Negative. Go with the blue s. blue and red or something. I want to do something a similar size so its easy to see the difference. I might do something related to tornado I liked that. Lightning. I can do lightning I guess. Try it out. Add some red in here. kind of looks cool. It a little hard to see how may they are because they are in the distance and it looks like a line that blends it. I think it looks cool.,,,,,,1,1,1,,,,1,,,,,,
1,P11,VR-D,33,There is a sea of positive this week. Typical week but not too much downs,,,,,,,1,,,,,1,,,,,,
1,P5,VR-D,89,"Thinking – I want to capture something that takes up the whole space, for some reason, but then I want to be so laggy that we cannot see anything, I want to draw something and have it filled in, like a 3D form. I really lie the lotuses so im thinking. Flowering thing, what I had in 2d",,,,,,,1,,1,,,1,,,,,,1
1,P13,2D-C,4,"negative: drops, its rainy gloomy, droopy",,,,,,1,,,,,,1,,,,,,
1,P5,2D-C,12,I would not choose a shape. Drop is as good to me as the circle. Its more being able to discrimate.,,,,,,,,1,1,,,1,,,,,,
1,P7,2D-C,27,Going to go with the blue tears of sadness,,,,,,,,,,,,1,,,,,,
0,P12,2D-C,32,"Flower – looking for organic stuff. More petal to it, not very organic anymore",,,,,,,,,,,,1,,,,,,
0,P8,2D-C,40,"Twinkling star, I would make it look more like thorns.",,,,,,,,,,,,1,,,,,,
0,P4,2D-C,58,Star for positive,,,,,,,,,,,,1,,,,,,
0,P4,2D-C,59,Empty circle for neutral and cloud-one for negative,,,,,,,,,,,,1,,,,,,
0,P4,2D-C,60,Sun – cloud and purple is like neutral,,,,,,,,,,,,1,,,,,,
1,P9,2D-D,18,"Lets do sad, lets go with blue. Make a rain cloud",,,,,,,,,,,,1,,,,,,
1,P9,2D-D,19,"There we go, I like that looks like rain cloud",,,,,,,,,,,,1,,,,,,
0,P10,2D-D,33,Does the tornado and lighting in same colors. Looks kind of cool. Looks much cooler in smaller version that in the larger drawing box,,,,,,,,,,,,1,,,,,1,
0,P10,2D-D,34,Doing something. Im kind of doodling at this point in the middle one. Teal and orange same color than VR. Middle looks interesting. Huh just kind of looks like a blob. Almost look like a rose. I don’t want it too look like the happy one. It’s the color I don’t like. It looks like mush. Trying to add a bit of shading or something. I almost wish I could change the teal to a different color but don’t want to start over. Don’t know. Don’t want to use red because that it not neutral. Something that stands out but different from other colors used in other icons. Not really sure. Black seems a bit dark.,,,,,,,,,1,,,1,,,,,,
0,P4,2D-D,43,I like my sun so I will do this again. Translate well with the emotion. Keep it in the theme.,,,,,,,,,,,,1,,,,,,1
1,P3,VR-B,19,I find it difficult – there are a bigger -  a field of blue,,,,,,,,1,,,,1,,,,,,
0,P6,VR-C,8,Little spikes seems negative,,,,,,,,,,,,1,,,,,,
0,P12,VR-C,11,Positive more organic - lotus,,,,,,,,,,,,1,,,,,,
0,P12,VR-C,13,"Negative – I cannot see- none that I like, interesting I don’t know what im looking for, I just know they are not right. Maybe something like a cone, sharp point. Pyramid",,,,,,,,,1,,,1,,,,,,
0,P2,VR-C,14,"This is tough, because im really having to pick and choose, drop shape and fit with blue too (water), purely aesthetic preference",,,,,,1,,,1,,,1,,,,,,
0,P8,VR-C,14,I like one that has the flower blooming for positive.,,,,,,,,,,,,1,,,,,,
1,P13,VR-C,35,"Those bricks are good, but I would make them even smaller.",,,,,,1,,,,,,1,,,,,,
1,P5,VR-C,50,like a forest,,,,,,,,,,,,1,,,,,,
1,P5,VR-C,51,Star terrible,,,,,,,,,,,,1,,,,,1,
1,P5,VR-C,52,Flower cute,,,,,,,,,,,,1,,,,,1,
1,P7,VR-C,65,Pumpkins for positive,,,,,,,,,,,,1,,,,,,
1,P5,VR-C,66,Rain drop are like emotion.,,,,,,,,,,,,1,,,,,,
1,P7,VR-C,66,Squigglish pumpkins for neutral (hard to count),,,,,,,,1,,,,1,,,,,,
1,P5,VR-C,67,Lotus one but hard to gage as an icon,,,,,,,,,,,,1,,,,,,
1,P7,VR-C,76,Pyramid and cone too hard to coung,,,,,,1,,,,,,1,,,,,,
1,P3,VR-C,79,Before I add a positive and a negative. Just feel flat on the ground,,,,,,,,,,,,1,,,,,,
1,P3,VR-C,82,Pyramid like in Egypt,,,,,,,,,,,,1,,,,,,
1,P7,VR-C,83,“Lawn size of the shapes”,,,,,,,,,,,,1,,,,,,
0,P4,VR-D,4,Positive - I will use yellow – bright like the sun. along these lines I will draw that.,,,,,,,,,,,,1,,,,,,
0,P8,VR-D,5,This looks like ice cream,,,,,,,,,,,,1,,,,,,
0,P4,VR-D,6,Lets do negative – blue – a sphere but more like a dark cloud.,,,,,,,,,,,,1,,,,,,
0,P6,VR-D,13,Doing the sky? Trying to yeah,,,,,,,,,1,,,1,,,,,,
0,P6,VR-D,17,No white. I love snow but there is none,,,,,,,,,,,,1,,,,,,
0,P10,VR-D,21,Its not quite going super well. Not really sure if im connecting these things. Laugh. Look like weird basket ball things. I kind of wish I started out with something in the middle that is more solid. Trying to choose another color that . if I could just fill it up somehow.  <filling in orange>.,,,,,,,,,1,,,1,,,,,,
1,P11,VR-D,32,Negative. Try the scribble but in three dimension a little too much of an X. too much like ion atom. I like that one. Same reason that last one.,,,,,,,,,,,,1,,,,,,1
1,P9,VR-D,34,Really angry serve of ice cream,,,,,,,,,,,,1,,,,,,
1,P3,VR-D,39,I was trying to draw an arrow thing but yikes,,,,1,,,,,1,,,1,,,,,1,
1,P13,VR-D,45,This is like these wool strings. I would probably make it a bit smaller so its cuter,,,,,,1,,,,,,1,,,,,,
1,P3,VR-D,50,Hmmm – looks more like a tree now.,,,,,,,,,1,,,1,,,,,,
1,P13,VR-D,51,Like small spots written on a sheet of paper that needs to be filled in.,,,,,,,,,,,,1,,,,,,
1,P3,VR-D,52,Yeah I don’t what would be the oppositive.  I don’t know something flat on the ground maybe.,,,,,,1,,,,,,1,,,,,,
1,P13,VR-D,58,"Almost like a splash of water, similar to the waves I drew over there [in 2D]",,,,,,,,,,,,1,,,,,,1
1,P13,VR-D,59,It could be a puddle. A puddle could be the sun came out after the rain. It’s a good thing. But its water and it could be messy so it can still turn into something.,,,,,,,,,,,,1,,,,,,
1,P3,VR-D,63,I just thought a pond of water or something.,,,,,,,,,,,,1,,,,,,
1,P3,VR-D,71,Maybe because these trees have rough height to them.,,,,,,,,,,,,1,,,,,,
1,P3,VR-D,74,A little pile of hundred,,,,,,,,,,,,1,,,,,,
1,P5,VR-D,84,"Going for a sun, I kind of like the sketch-feel to it",,,,,,,,,,,,1,,,,,1,
1,P5,VR-D,87,Squishing out ink vs squishing out icing,,,,,,,,,,,,1,,,,,,
1,P5,VR-D,105,Green flower.,,,,,,,,,,,,1,,,,,,
1,P5,VR-D,107,Im going with the growth thing.,,,,,,1,,,,,,1,,,,,,
0,P8,VR-D,7,"When I think about sad. Going back to my experience. Sad patch in my line. Tough road, or rose of thorn.",,,,,,,,,,,1,2,,,,,,
1,P5,2D-D,39,Negative going down – over representing would be a problem. So would like to make it feel a bit smaller. Sure. More not a happy place thought. I want flowers and birds in my life,,,,,,,,,,,,2,,1,,,,
1,P5,2D-D,41,Starfish rather than flowers,,,,,,,,,,,,2,,,,,,
0,P4,VR-C,27,I like the tear drop and the star,,,,,,,,,,,,2,,,,,,
0,P8,VR-D,4,"Trees are green, diamond shape. Like a real diamond, like a real diamond. Im like biased like a real diamond (touch her ring)",,,,,,,,,,,,2,,,,,,
0,P8,VR-D,9,"How can it be so bad. I usually draw, this is much better. Keep the little things from the diamond",,,,,,,,,1,,,2,,,,,,
1,P3,VR-D,58,It kinds of works. Tree growing. Pile of dirt with nothing growing on it.,,,,,,,,,,,,2,,,,,,
0,P10,VR-C,6,"Im seeing if they can be negative. Drops, could be like teardrops but I don’t know. The pointing pyramid could be negative but not as fun as the swirls. These are kind of cool. Visually pleasing, I kind of like the star spikes things. Actually there are a bit harsh. I almost liks different over here. Then positive ones, I saw the like plus sign but, yay, not really feeling that. They are shaded different colors, bring some flare to the positivity. Then change the neutral.",,,,,,,,,,,,3,,1,,,1,
0,P8,2D-D,23,"When im happy, go out for shopping, go outside. Mount Rainier, I see the weather and then Im happy.  Bunch of people",,,,,,,,,,3,,3,,,,,,
0,P10,VR-D,17,Positive – start. Positive for me is nature and growth and things like that. Im thinking green and maybe almost like a multi color flower or something. Start with stem and leaves. Well looks like little spouts. Laugh. Kind of cute. Its very small. I may erase it. Think of making a bigger stem looks really weird from this side. Its more like drawing strands spaghettis instead than 3Dish. Sort of have that. Feels like its going to turn into a sunflower. Laugh. I might just make up a flower. There is no brown.trying to filling these. Looks kind of cool with the color mixing. Definitely hard to fill it in. I might just more loops. Hard cause you want to make a thick long things but then you fill it past that loop. A little purple just for fun,,,,,,,,,,,,3,,,,1,1,
1,P3,VR-D,54,"Pile of dirt, or lump of poo, coal.  Literally crap that goes with the negative scheme",,,,,,,,,,,,3,,,,,,
1,P3,VR-D,70,Not too bad I guess. Less like piles of dirt than the trees and ponds. “sighing”  it was much easier with the circles,,,,,,,,,1,,,3,,,,,,
0,P2,VR-D,18,its like a bad July 4th party with sparklers,,,,,,,,,,1,1,?,,,,,,
1,P13,VR-C,31,"Purple I love the flowers, they look really pretty in purple, it’s a neutral that looks somewhat happy.",,,,,,,1,,,,,?,,,,,1,
1,P13,VR-C,36,Quite a lot of neutral ones. But because of the flower it almost look like positive.,,,,,,,1,,,,,?,,,,,,
1,P13,VR-B,24,OMG this was a bad week. I guess I was very emotion. I was either really good or really bad. roller coaster,,,,,,,,?,,,,?,,,,,,
1,P7,VR-C,78,None of these are negative to me. I don’t like the spikes. If you step on a spike that sucks,,,,,,,,,1,1,,,1,,,,,
1,P7,VR-C,80,Painful to step or touch,,,,,,,,,,,,,1,,,,,
1,P13,2D-D,19,[points to negative sad face] black is dark,,,,,,,,,,,,,?,?,,,,
0,P4,VR-C,33,"To better understand my feelings, but also to feel good, I want to bias",,,,,,,,,,,,,?,,,,,
0,P2,VR-D,26,"Its not a natural motion, drawing in depth is weird. Usually you draw on a board, its a different depth feeling",,,,,,,1,,1,,,,?,,,,,
0,P2,VR-D,25,“oh wow my spatial reasoning is terrible”,,,,,,,,,1,,,,?,,,,,
1,P13,2D-D,18,[points to positive squiggly texture] Orange warmth happiness,,,,,,,,,,,,,,1,,,,
0,P6,VR-D,21,"A little too steep, would not be able to ski it",,,,,,,,,,1,1,,,,,,,
1,P13,VR-D,52,or its like when you see a kids and its starting to have a rash and then you know what s coming,,,,,,,,,,1,1,,,,,,,
1,P13,VR-D,53,"or you know its like you are wearing a white gown, like I am today, and then you spill some soy sauce, and you are like wow ok not too bad but then still something you pay attention too",,,,,,,,,,1,1,,,,,,,
1,P3,VR-C,81,Dome looks a little odd. Like a button you need to press,,,,,,,,,,1,,,,,1,,1,
1,P9,2D-D,14,I want to do a star like in Mario (game)  - close enough – laugh,,,1,,,,,,,1,,,,,,,,
0,P10,VR-D,13,Its like icing a cake or something.,,,,,,,,,,1,,,,,,,,
1,P11,VR-D,20,A lot like decorating a cake,,,,,,,,,,1,,,,,,,,
1,P3,VR-D,25,Its like spray painting,,,,,,,,,,1,,,,,,,,
1,P9,VR-D,32,Its like putting frosting on a cake,,,,,,,,,,1,,,,,,,,
1,P9,VR-D,33,I have never done it but it looks like what it would be. I have seen the food network,,,,,,,,,,1,,,,,,,,
1,P9,VR-D,37,"Im making red, I was tempting to go to blue like last time. Again I feel like nature again. I don’t know what s up with that. I m going to go with mountain.",,,,,,,,,,1,,,,,,,,
1,P5,VR-D,85,Reminds me of decorating a cake,,,,,,,,,,1,,,,,,,,
0,P8,2D-D,25,Neutral: to make myself happy I cook. Ill be looking at receipe. Try to talk reach out to my mom.,,,,,,,,,,2,2,,,,,,,
0,P8,2D-D,27,I had very very sad moments. But then I went for hiking and hanging around. Not much cooking cause no food to it. More sad moments.  My happiness is more than neutral so good,,,,,,,,,,2,,,,,,,,
0,P8,2D-D,26,"“I can make it a bit more professional looking”  basically laptop, looking at startup. Me on youtube.",,,,,,,,,,3,,,,1,,,,
0,P2,VR-C,6,Neutral such a weird affect – donkey from winny the pooh,,,,,,,,,,,1,,,1,,,,
0,P6,VR-C,5,"Looking at the positive shapes, a lot of these would be times that I am in the mountain. - cone",,,,,,,,,,,1,,,,,,,
0,P2,VR-D,21,"I know exactly what symbol I am going for, like, you know, in the Movie Tran",,,,,,?,,,,,1,,,,,,,
0,P2,VR-D,22," - also the symbol with the Sims
",,,,,,,,,,,1,,,,,,,
1,P13,2D-D,16,I think if I look at my chart every day. I want it to be motivating me. I don’t want to be reminded of my bad memories. Very strong and solid happy. Somewhat boring and a few bad one. I want it strong for happy.,,,,,,1,,,,,?,,,1,,,,
0,P2,VR-D,27,“if I were a 3year old id probably just wing it”,,,,,,,,,,,?,,,,,,,
0,P4,VR-D,19,Its better – cube a little boring. It feels more on par shape-wise. Cube looks a bit more empty.,,,,,,,1,,,,,,,1,,,,
1,P13,2D-C,3,[select swirl shape] Energy Movement Light Happy ,,,,,,1,,,,,,,,1,,,,
1,P13,2D-C,5,"middle: happy, it s a less energetic  ",,,,,,1,,,,,,,,1,,,,
1,P5,2D-C,9,Square – naaah. I like the soft one.,,,,,,,,,,,,,,1,,,1,
1,P11,2D-D,6,Negative  - just feels like expressionnste representating of a negative experience. Combines Frustrated emphatic.,,,,,,,,,,,,,,1,,,,
1,P13,2D-D,9,Orange is happy and energetic color and its like. Yeah simple.,,,,,,1,,,,,,,,1,,,,
1,P13,2D-D,13,"Middle is probably blue. A little boring. A surface where not much is happening, no storm of sad emotions but no excitement either",,,,,,1,,,,,,,,1,,,,
